document_family,family_type,reviewed_documents,member_documents,distinct_archives,distinct_reviewers,models_represented,modernised_tokens,included_annotations,included_assignments,pooled_annotations_per_1000_tokens,minimum_document_annotation_rate,median_document_annotation_rate,maximum_document_annotation_rate,flagged_documents,model_1,model_1_documents,model_2,model_2_documents
AGI_PATRONATO_182_R3_04,singleton,1,AGI_PATRONATO_182_R3_04,1,1,1,223,40,48,179.37219730941703,179.37219730941703,179.37219730941703,179.37219730941703,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_118_08,singleton,1,BnF_118_08,1,1,1,268,48,49,179.1044776119403,179.1044776119403,179.1044776119403,179.1044776119403,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_075_003,singleton,1,BnF_075_003,1,1,1,289,50,51,173.01038062283735,173.01038062283737,173.01038062283737,173.01038062283737,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_113_04,singleton,1,BnF_113_04,1,1,1,310,51,62,164.51612903225808,164.51612903225808,164.51612903225808,164.51612903225808,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_075_035,singleton,1,BnF_075_035,1,1,1,219,36,41,164.3835616438356,164.3835616438356,164.3835616438356,164.3835616438356,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGI_CONTRATACION_1089_N8_151,singleton,1,AGI_CONTRATACION_1089_N8_151,1,1,1,304,48,50,157.89473684210526,157.89473684210526,157.89473684210526,157.89473684210526,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGS_CE_RG_L379_01,singleton,1,AGS_CE_RG_L379_01,1,1,1,83,13,16,156.6265060240964,156.6265060240964,156.6265060240964,156.6265060240964,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_112_25,singleton,1,BnF_112_25,1,1,1,269,42,53,156.13382899628252,156.13382899628252,156.13382899628252,156.13382899628252,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGN_Indios_v019_exp354_2,singleton,1,AGN_Indios_v019_exp354_2,1,1,1,559,87,90,155.6350626118068,155.6350626118068,155.6350626118068,155.6350626118068,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGN_HospJesus_c205_exp041_04,singleton,1,AGN_HospJesus_c205_exp041_04,1,1,1,142,22,22,154.9295774647887,154.9295774647887,154.9295774647887,154.9295774647887,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_030_27,singleton,1,BnF_030_27,1,1,1,278,43,53,154.67625899280577,154.67625899280577,154.67625899280577,154.67625899280577,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGN_Indios_v009_exp003_fs4v-5_01,singleton,1,AGN_Indios_v009_exp003_fs4v-5_01,1,1,1,272,42,46,154.41176470588235,154.41176470588235,154.41176470588235,154.41176470588235,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_032_23,singleton,1,BnF_032_23,1,1,1,648,100,103,154.320987654321,154.320987654321,154.320987654321,154.320987654321,1,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
UIA_Ms149_Exp2_51,singleton,1,UIA_Ms149_Exp2_51,1,1,1,391,58,66,148.33759590792837,148.33759590792835,148.33759590792835,148.33759590792835,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_118_02,singleton,1,BnF_118_02,1,1,1,27,4,4,148.14814814814815,148.14814814814815,148.14814814814815,148.14814814814815,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_RealesCedDup_v030_exp874,singleton,1,AGN_RealesCedDup_v030_exp874,1,1,1,644,95,105,147.51552795031057,147.51552795031057,147.51552795031057,147.51552795031057,1,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGN_Tierras_v039-2_exp003_72,singleton,1,AGN_Tierras_v039-2_exp003_72,1,1,1,177,26,41,146.89265536723164,146.89265536723164,146.89265536723164,146.89265536723164,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_116_02,singleton,1,BnF_116_02,1,1,1,273,38,49,139.1941391941392,139.1941391941392,139.1941391941392,139.1941391941392,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_174_03,singleton,1,BnF_174_03,1,1,1,701,96,104,136.9472182596291,136.9472182596291,136.9472182596291,136.9472182596291,1,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_112_08,singleton,1,BnF_112_08,1,1,1,309,41,45,132.68608414239483,132.68608414239483,132.68608414239483,132.68608414239483,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_GralParte_v001_exp1020_02,singleton,1,AGN_GralParte_v001_exp1020_02,1,1,1,38,5,9,131.57894736842104,131.57894736842104,131.57894736842104,131.57894736842104,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_IndiferenteVirreinal_caja4071_exp024_2,singleton,1,AGN_IndiferenteVirreinal_caja4071_exp024_2,1,1,1,137,18,23,131.38686131386862,131.38686131386862,131.38686131386862,131.38686131386862,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AMP_AC_v021__doc026_1,singleton,1,AMP_AC_v021__doc026_1,1,1,1,188,24,34,127.6595744680851,127.6595744680851,127.6595744680851,127.6595744680851,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BP_CM_R481_071_3,singleton,1,BP_CM_R481_071_3,1,1,1,47,6,7,127.6595744680851,127.6595744680851,127.6595744680851,127.6595744680851,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_AHHacienda_v1292_exp135,singleton,1,AGN_AHHacienda_v1292_exp135,1,1,1,411,52,54,126.52068126520682,126.52068126520682,126.52068126520682,126.52068126520682,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_113_43,singleton,1,BnF_113_43,1,1,1,176,22,22,125.0,125.0,125.0,125.0,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,singleton,1,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,1,1,1,285,35,35,122.80701754385964,122.80701754385964,122.80701754385964,122.80701754385964,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_117_13,singleton,1,BnF_117_13,1,1,1,148,18,22,121.62162162162163,121.62162162162164,121.62162162162164,121.62162162162164,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
LoC_HPKraus_146_new_13,singleton,1,LoC_HPKraus_146_new_13,1,1,1,148,18,18,121.62162162162163,121.62162162162164,121.62162162162164,121.62162162162164,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_032_33,singleton,1,BnF_032_33,1,1,1,354,42,51,118.64406779661017,118.64406779661016,118.64406779661016,118.64406779661016,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_116_08,singleton,1,BnF_116_08,1,1,1,43,5,6,116.27906976744185,116.27906976744184,116.27906976744184,116.27906976744184,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_AHHacienda_v268_exp046_03,singleton,1,AGN_AHHacienda_v268_exp046_03,1,1,1,181,21,22,116.02209944751381,116.0220994475138,116.0220994475138,116.0220994475138,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BNE_ms3047_4,singleton,1,BNE_ms3047_4,1,1,1,485,56,56,115.4639175257732,115.4639175257732,115.4639175257732,115.4639175257732,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGN_Marina_v004_exp006_014,singleton,1,AGN_Marina_v004_exp006_014,1,1,1,70,8,9,114.28571428571428,114.28571428571428,114.28571428571428,114.28571428571428,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_266_05,singleton,1,BnF_266_05,1,1,1,884,100,192,113.12217194570135,113.12217194570135,113.12217194570135,113.12217194570135,1,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_243_16,singleton,1,BnF_243_16,1,1,1,417,47,56,112.70983213429255,112.70983213429255,112.70983213429255,112.70983213429255,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_118_03,singleton,1,BnF_118_03,1,1,1,318,34,34,106.9182389937107,106.9182389937107,106.9182389937107,106.9182389937107,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_243_12,singleton,1,BnF_243_12,1,1,1,77,8,10,103.89610389610391,103.89610389610392,103.89610389610392,103.89610389610392,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_GralParte_v006_exp617_02,singleton,1,AGN_GralParte_v006_exp617_02,1,1,1,446,46,54,103.13901345291481,103.1390134529148,103.1390134529148,103.1390134529148,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BP_CM_R481_016,singleton,1,BP_CM_R481_016,1,1,1,108,11,14,101.85185185185185,101.85185185185183,101.85185185185183,101.85185185185183,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_030_22,singleton,1,BnF_030_22,1,1,1,383,39,48,101.82767624020887,101.82767624020887,101.82767624020887,101.82767624020887,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
