pattern_rank,model,error_category,subrule,normalised_annotated_text,distinct_annotations,affected_documents,affected_reviewers,affected_archives,annotations_per_1000_model_tokens,prompt_candidate,example_surface_forms,example_documents,reviewers,archives
16,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhas,7,5,5,4,0.6007552351527635,True,dhas,AGN_GralParte_v006_exp617_01 | AGN_Indios_v019_exp354_2 | BnF_112_02 | BnF_112_25 | BnF_113_22,Alba | Arturo | Paco | Paloma | Rodrigo,agn_gralparte | agn_indios | bnf_112 | bnf_113
17,Llama 3.3 70B · 12 000 TPM,Cambios,Sustitución,seiscientos,5,5,5,4,0.11762768485190674,True,seiscientos,BnF_075_003 | BnF_075_035 | BnF_117_13 | BnF_119-148_13 | utblac_wbs_1433_duplicated_1,Adriana | Arturo | Edna | Paco | Rodrigo,bnf_075 | bnf_117 | bnf_119-148 | utblac_wbs
18,GPT OSS 120B · 8 000 TPM,Abreviaturas,No sub-rule assigned,dha,9,5,4,4,0.772399588053553,True,dha,AGN_AHHacienda_v268_exp046_01 | AGN_Mercedes_v003_exp520 | BnF_030_21 | BnF_112_04 | BnF_112_23,Adriana | Alba | Edna | Paloma,agn_ahhacienda | agn_mercedes | bnf_030 | bnf_112
19,GPT OSS 120B · 8 000 TPM,Filológicas - instrucciones,Regularización de i/y vocálicas,yndio,7,5,4,3,0.6007552351527635,True,yndio,BnF_111_20 | BnF_112_02 | BnF_112_04 | BnF_112_23 | BnF_113_22,Arturo | Edna | Flor | Paloma,bnf_111 | bnf_112 | bnf_113
20,GPT OSS 120B · 8 000 TPM,Acentuación,No sub-rule assigned,dias,7,5,3,5,0.6007552351527635,True,dias,AGI_PATRONATO_182_R3_01 | AGN_GralParte_v006_exp617_01 | AGN_Indios_v019_exp354_2 | AGN_Mercedes_v003_exp520 | BnF_113_22,Alba | Paloma | Rodrigo,agi_patronato | agn_gralparte | agn_indios | agn_mercedes | bnf_113
21,Llama 3.3 70B · 12 000 TPM,Cambios,Deleción,así,6,5,3,5,0.1411532218222881,True,así,AGI_INDIFERENTE_1529_N8_06 | BnF_075_035 | BnF_113_43 | BnF_117_03 | BnF_119-148_33,Arturo | Paloma | Rodrigo,agi_indiferente | bnf_075 | bnf_113 | bnf_117 | bnf_119-148
22,GPT OSS 120B · 8 000 TPM,Filológicas - instrucciones,Regularización de H etimológica,a,5,5,3,5,0.4291108822519739,True,A | a,AGI_INDIFERENTE_2065_N45_09 | AGN_GralParte_v006_exp617_01 | BnF_030_27 | BnF_111_20 | BnF_113_22,Flor | Paloma | Rodrigo,agi_indiferente | agn_gralparte | bnf_030 | bnf_111 | bnf_113
23,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,mag,7,5,3,3,0.6007552351527635,True,mag,AGI_PATRONATO_182_R3_01 | AGI_PATRONATO_182_R3_04 | AGN_Mercedes_v003_exp520 | BnF_032_15 | BnF_032_36,Alba | Flor | Paco,agi_patronato | agn_mercedes | bnf_032
24,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,puo,11,4,4,4,0.9440439409543426,True,puo,AGN_Indios_v019_exp354_2 | BNE_ms3047_4 | BnF_111_20 | BnF_113_04,Alba | Flor | Javier | Paco,agn_indios | bne_ms3047 | bnf_111 | bnf_113
25,GPT OSS 120B · 8 000 TPM,Cambios,Sustitución,de,8,4,4,4,0.6865774116031583,True,de,AGI_PATRONATO_181_R13_1 | AGN_Indios_v009_exp003_fs4v-5_01 | BnF_030_27 | BnF_112_25,Arturo | Paco | Paloma | Rodrigo,agi_patronato | agn_indios | bnf_030 | bnf_112
26,GPT OSS 120B · 8 000 TPM,Abreviaturas,No sub-rule assigned,dho,11,4,4,3,0.9440439409543426,True,dho,AGN_Mercedes_v003_exp520 | BnF_111_20 | BnF_112_04 | BnF_112_23,Alba | Edna | Flor | Paloma,agn_mercedes | bnf_111 | bnf_112
27,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,aos,4,4,4,3,0.34328870580157916,True,aos,AGN_AHHacienda_v1292_exp135 | AGN_AHHacienda_v268_exp046_01 | AGN_GralParte_v006_exp617_01 | AGN_Indios_v019_exp354_2,Adriana | Alba | Javier | Rodrigo,agn_ahhacienda | agn_gralparte | agn_indios
28,Llama 3.3 70B · 12 000 TPM,Cambios,Sustitución,juan,16,4,3,4,0.3764085915261016,True,Juan,BnF_030_22 | BnF_075_003 | BnF_110_13 | BnF_174_04,Adriana | Paco | Paloma,bnf_030 | bnf_075 | bnf_110 | bnf_174
29,GPT OSS 120B · 8 000 TPM,Acentuación,No sub-rule assigned,mi,8,4,3,4,0.6865774116031583,True,mi,AGI_CONTRATACION_1183_N8_78 | AGN_Indios_v009_exp003_fs4v-5_01 | BnF_104_2 | BnF_113_04,Adriana | Arturo | Paco,agi_contratacion | agn_indios | bnf_104 | bnf_113
30,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,de,6,4,3,4,0.5149330587023687,True,de,AGI_PATRONATO_182_R3_04 | BNE_ms3047_4 | BnF_030_27 | BnF_112_25,Javier | Paco | Rodrigo,agi_patronato | bne_ms3047 | bnf_030 | bnf_112
31,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,rs,5,4,3,4,0.4291108822519739,True,Rs,AGI_CONTRATACION_1091_N3_098 | AGN_AHHacienda_v1292_exp135 | AGN_IndiferenteVirreinal_caja4071_exp024_2 | AGN_Indios_v019_exp354_2,Alba | Javier | Paloma,agi_contratacion | agn_ahhacienda | agn_indiferentevirreinal | agn_indios
32,GPT OSS 120B · 8 000 TPM,Acentuación,No sub-rule assigned,el,4,4,3,4,0.34328870580157916,True,el,AGN_Marina_v004_exp006_005 | AMP_AC_v021__doc026_1 | BNE_ms3047_1 | BnF_112_02,Arturo | Edna | Rodrigo,agn_marina | amp_ac | bne_ms3047 | bnf_112
33,GPT OSS 120B · 8 000 TPM,Filológicas - instrucciones,x sibilante → j,dixo,6,4,3,3,0.5149330587023687,True,dixo,BnF_111_20 | BnF_112_04 | BnF_112_23 | BnF_113_22,Edna | Flor | Paloma,bnf_111 | bnf_112 | bnf_113
34,Llama 3.3 70B · 12 000 TPM,Cambios,Sustitución,principales,10,4,3,2,0.23525536970381347,True,principales,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10 | BnF_032_23,Arturo | Paco | Rodrigo,agn_hospjesus | bnf_032
35,GPT OSS 120B · 8 000 TPM,Cambios,Sustitución,y,32,4,2,4,2.7463096464126333,True,Y | y,AGI_INDIFERENTE_2065_N45_09 | BnF_030_27 | BnF_104_2 | BnF_116_02,Paco | Rodrigo,agi_indiferente | bnf_030 | bnf_104 | bnf_116
36,GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,10,4,2,4,0.8582217645039478,True,deSta | desta,AGI_PATRONATO_182_R3_01 | AGN_RealesCedDup_v030_exp874 | BnF_112_25 | BnF_116_02,Alba | Paco,agi_patronato | agn_realesceddup | bnf_112 | bnf_116
37,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,da,5,4,2,4,0.4291108822519739,True,da,AGI_PATRONATO_182_R3_04 | BnF_075_014 | BnF_104_2 | BnF_112_25,Alba | Paco,agi_patronato | bnf_075 | bnf_104 | bnf_112
38,GPT OSS 120B · 8 000 TPM,Abreviaturas,No sub-rule assigned,franco,4,4,2,4,0.34328870580157916,True,Franco | franco,AGI_GUADALAJARA_230_L2_F_45V-46V_1 | BnF_030_21 | BnF_112_23 | BnF_113_22,Edna | Paloma,agi_guadalajara | bnf_030 | bnf_112 | bnf_113
39,Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ellos,4,4,2,4,0.0941021478815254,True,de ellos,AGN_GralParte_v006_exp617_02 | AGN_Inquisicion_v1568A_exp152_fs115-116v_01 | BP_CM_R481_016 | BnF_075_026,Arturo | Rodrigo,agn_gralparte | agn_inquisicion | bnf_075 | bp_cm
40,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,to,71,4,2,3,1.670313124897076,True,to,AGN_HospJesus_c205_exp041_04 | BnF_111_21 | BnF_267_03 | BnF_267_23,Flor | Paco,agn_hospjesus | bnf_111 | bnf_267
41,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,seiscientos,4,4,2,3,0.0941021478815254,True,seiscientos,BnF_110_09 | BnF_110_33 | BnF_118_05 | BnF_119-148_13,Alba | Edna,bnf_110 | bnf_118 | bnf_119-148
42,GPT OSS 120B · 8 000 TPM,Abreviaturas,No sub-rule assigned,q,14,3,3,3,1.201510470305527,True,q,AGN_Mercedes_v003_exp520 | BnF_112_23 | BnF_113_22,Alba | Edna | Paloma,agn_mercedes | bnf_112 | bnf_113
43,GPT OSS 120B · 8 000 TPM,Cambios,Sustitución,del,12,3,3,3,1.0298661174047374,True,del,AGN_Indios_v002_exp835 | BnF_030_21 | BnF_112_25,Edna | Paco | Paloma,agn_indios | bnf_030 | bnf_112
44,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,dn,10,3,3,3,0.23525536970381347,True,Dn,BnF_174_02 | BnF_243_16 | UIA_Ms149_Exp3_04,Alba | Javier | Rodrigo,bnf_174 | bnf_243 | uia_ms149
45,GPT OSS 120B · 8 000 TPM,Filológicas - instrucciones,Regularización de H etimológica,ay,6,3,3,3,0.5149330587023687,True,ay,AGN_Mercedes_v003_exp520 | BNE_ms3047_1 | BnF_112_23,Alba | Edna | Rodrigo,agn_mercedes | bne_ms3047 | bnf_112
46,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dhos,5,3,3,3,0.4291108822519739,True,dhos,AGI_PATRONATO_182_R3_01 | BnF_032_36 | BnF_111_20,Alba | Flor | Paco,agi_patronato | bnf_032 | bnf_111
47,GPT OSS 120B · 8 000 TPM,Abreviaturas,No sub-rule assigned,dos,4,3,3,3,0.34328870580157916,True,dos,AGI_GUADALAJARA_230_L2_F_45V-46V_1 | AGN_Marina_v004_exp006_014 | BnF_116_02,Edna | Javier | Paco,agi_guadalajara | agn_marina | bnf_116
48,GPT OSS 120B · 8 000 TPM,Acentuación,No sub-rule assigned,relacion,4,3,3,3,0.34328870580157916,True,Relacion | relacion,AGN_GralParte_v006_exp617_01 | AGN_Indios_v019_exp354_2 | BnF_112_23,Alba | Edna | Rodrigo,agn_gralparte | agn_indios | bnf_112
49,GPT OSS 120B · 8 000 TPM,Filológicas - instrucciones,Regularización de i/y vocálicas,yndios,4,3,3,3,0.34328870580157916,True,Yndios | yndios,AGN_Indios_v019_exp354_2 | BnF_111_20 | BnF_113_22,Alba | Flor | Paloma,agn_indios | bnf_111 | bnf_113
50,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,anto,4,3,3,3,0.0941021478815254,True,Anto,AGI_CONTRATACION_1089_N8_151 | AGN_HospJesus_c205_exp041_04 | BnF_243_16,Flor | Paco | Rodrigo,agi_contratacion | agn_hospjesus | bnf_243
51,Llama 3.3 70B · 12 000 TPM,Acentuación,No sub-rule assigned,declaro,4,3,3,3,0.0941021478815254,True,declaro,AGI_CONTRATACION_1089_N8_176 | AGN_GralParte_v006_exp617_02 | BnF_075_026,Arturo | Flor | Rodrigo,agi_contratacion | agn_gralparte | bnf_075
52,Llama 3.3 70B · 12 000 TPM,Acentuación,No sub-rule assigned,el,4,3,3,3,0.0941021478815254,True,el,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05 | BnF_117_03 | Mechoacan_Yurirapundaro_1,Adriana | Arturo | Rodrigo,agn_hospjesus | bnf_117 | mechoacan_yurirapundaro
53,Llama 3.3 70B · 12 000 TPM,Cambios,Inserción,de la,4,3,3,3,0.0941021478815254,True,de la,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05 | BnF_119-148_33 | BnF_266_07,Paco | Paloma | Rodrigo,agn_hospjesus | bnf_119-148 | bnf_266
54,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,nra,3,3,3,3,0.25746652935118436,True,nra,AGI_GUADALAJARA_230_L2_F_45V-46V_2 | AGI_PATRONATO_182_R3_01 | BNE_ms3047_1,Adriana | Alba | Rodrigo,agi_guadalajara | agi_patronato | bne_ms3047
55,GPT OSS 120B · 8 000 TPM,Cambios,Sustitución,él,3,3,3,3,0.25746652935118436,True,él,AGI_INDIFERENTE_2065_N45_09 | AGI_PATRONATO_182_R3_04 | AGN_Indios_v002_exp835,Paco | Paloma | Rodrigo,agi_indiferente | agi_patronato | agn_indios
56,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,sor,3,3,3,3,0.07057661091114405,True,Sor | sor,BnF_113_25 | BnF_117_13 | BnF_174_02,Flor | Javier | Paco,bnf_113 | bnf_117 | bnf_174
