filename_stem,reviewer_packet,annotation_id,annotated_text,start,end,paragraph,document_id_internal,entity_position,error_code,error_category,field_code,subrule,rule_combination_valid,validation_issue,is_unique_mode,status,related_to,related_text,related_key,annotation_json_path,effective_error_code,effective_error_category,effective_field_code,effective_subrule,effective_rule_combination_valid,include_in_analysis,resolution_action,resolution_source,review_note,human_decision,corrected_error_code,corrected_field_code,invalid_combination_policy
AGN_AHHacienda_v1292_exp135,1,1258,cientos,117,124,s1p2,21,1,e_6,Cambios,f_6663,Sustitución,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_6,Cambios,f_6663,Sustitución,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1258,cientos,117,124,s1p2,21,2,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1260,pos,133,136,s1p2,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1261,pos,540,543,s1p2,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1266,to,142,144,s1p2,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1271,gros,153,157,s1p2,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1273,pta,303,306,s1p2,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1275,noviembre,407,416,s1p2,21,1,e_6,Cambios,f_6663,Sustitución,True,,True,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_6,Cambios,f_6663,Sustitución,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1276,do,442,444,s1p2,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1262,pos,126,129,s1p4,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
