filename_stem,filename,archive,reviewer,model
AGN_Marina_v031A_exp02_fs85-92_11,AGN_Marina_v031A_exp02_fs85-92_11_GT.txt,agn_marina,3,Llama 3.3 70B · 12 000 TPM
BnF_032_33,BnF_032_33_GT.txt,bnf_032,3,Llama 3.3 70B · 12 000 TPM
BnF_167_29,BnF_167_29_GT.txt,bnf_167,3,Llama 3.3 70B · 12 000 TPM
BnF_075_003,BnF_075_003_GT.txt,bnf_075,3,Llama 3.3 70B · 12 000 TPM
BnF_116_08,BnF_116_08_GT.txt,bnf_116,3,Llama 3.3 70B · 12 000 TPM
Mechoacan_Yurirapundaro_1,Mechoacan_Yurirapundaro_1_GT.txt,mechoacan_yurirapundaro,3,Llama 3.3 70B · 12 000 TPM
BnF_267_15,BnF_267_15_GT.txt,bnf_267,3,Llama 3.3 70B · 12 000 TPM
AGI_CONTRATACION_1183_N8_78,AGI_CONTRATACION_1183_N8_78_GT.txt,agi_contratacion,3,GPT OSS 120B · 8 000 TPM
BnF_266_06,BnF_266_06_GT.txt,bnf_266,3,Llama 3.3 70B · 12 000 TPM
AGI_GUADALAJARA_230_L2_F_45V-46V_2,AGI_GUADALAJARA_230_L2_F_45V-46V_2_GT.txt,agi_guadalajara,3,GPT OSS 120B · 8 000 TPM
BnF_174_03,BnF_174_03_GT.txt,bnf_174,4,Llama 3.3 70B · 12 000 TPM
AGN_Indios_v009_exp002_fs3v-4_01,AGN_Indios_v009_exp002_fs3v-4_01_GT.txt,agn_indios,4,Llama 3.3 70B · 12 000 TPM
BnF_075_035,BnF_075_035_GT.txt,bnf_075,4,Llama 3.3 70B · 12 000 TPM
BnF_112_02,BnF_112_02_GT.txt,bnf_112,4,GPT OSS 120B · 8 000 TPM
BnF_118_08,BnF_118_08_GT.txt,bnf_118,4,Llama 3.3 70B · 12 000 TPM
Mechoacan_Yurirapundaro_2,Mechoacan_Yurirapundaro_2_GT.txt,mechoacan_yurirapundaro,4,Llama 3.3 70B · 12 000 TPM
AGS_CE_RG_L379_02,AGS_CE_RG_L379_02_GT.txt,ags_ce,4,Llama 3.3 70B · 12 000 TPM
