allocation_level,reviewer_packet,reviewer_name,archive,model,sample_documents,documents_with_annotation_data,documents_usable_for_rate_analysis,reviewed_modernised_tokens,median_modernised_tokens,archives_represented,reviewers_represented,models_represented
archive_by_model,,,bnf_075,Llama 3.3 70B · 12 000 TPM,3,3,3,710,219.0,1,2,1
archive_by_model,,,bnf_104,GPT OSS 120B · 8 000 TPM,1,1,1,328,328.0,1,1,1
archive_by_model,,,bnf_104,Llama 3.3 70B · 12 000 TPM,1,1,1,245,245.0,1,1,1
archive_by_model,,,bnf_110,Llama 3.3 70B · 12 000 TPM,4,4,4,889,210.0,1,3,1
archive_by_model,,,bnf_111,GPT OSS 120B · 8 000 TPM,1,1,1,459,459.0,1,1,1
archive_by_model,,,bnf_111,Llama 3.3 70B · 12 000 TPM,3,3,3,1633,569.0,1,3,1
archive_by_model,,,bnf_112,GPT OSS 120B · 8 000 TPM,4,4,4,1226,283.5,1,4,1
archive_by_model,,,bnf_112,Llama 3.3 70B · 12 000 TPM,1,1,1,309,309.0,1,1,1
archive_by_model,,,bnf_113,GPT OSS 120B · 8 000 TPM,2,2,2,660,330.0,1,2,1
archive_by_model,,,bnf_113,Llama 3.3 70B · 12 000 TPM,2,2,2,774,387.0,1,2,1
archive_by_model,,,bnf_116,GPT OSS 120B · 8 000 TPM,1,1,1,273,273.0,1,1,1
archive_by_model,,,bnf_116,Llama 3.3 70B · 12 000 TPM,3,3,3,393,133.0,1,2,1
archive_by_model,,,bnf_117,Llama 3.3 70B · 12 000 TPM,5,5,5,1178,273.0,1,5,1
archive_by_model,,,bnf_118,Llama 3.3 70B · 12 000 TPM,5,5,5,1137,268.0,1,5,1
archive_by_model,,,bnf_119-148,Llama 3.3 70B · 12 000 TPM,5,5,5,1502,279.0,1,5,1
archive_by_model,,,bnf_167,Llama 3.3 70B · 12 000 TPM,5,5,5,2009,437.0,1,4,1
archive_by_model,,,bnf_174,Llama 3.3 70B · 12 000 TPM,5,5,5,2947,641.0,1,4,1
archive_by_model,,,bnf_243,Llama 3.3 70B · 12 000 TPM,4,4,4,1350,408.5,1,4,1
archive_by_model,,,bnf_244,Llama 3.3 70B · 12 000 TPM,4,4,4,1000,281.5,1,3,1
archive_by_model,,,bnf_264,Llama 3.3 70B · 12 000 TPM,3,3,3,2219,819.0,1,3,1
archive_by_model,,,bnf_266,Llama 3.3 70B · 12 000 TPM,5,5,5,4195,822.0,1,4,1
archive_by_model,,,bnf_267,Llama 3.3 70B · 12 000 TPM,3,3,3,685,227.0,1,2,1
archive_by_model,,,bnf_283,Llama 3.3 70B · 12 000 TPM,3,3,3,1577,553.0,1,3,1
archive_by_model,,,bnf_394,Llama 3.3 70B · 12 000 TPM,3,3,3,944,413.0,1,2,1
archive_by_model,,,bp_cm,Llama 3.3 70B · 12 000 TPM,5,5,5,1180,301.0,1,4,1
archive_by_model,,,loc_hpkraus,Llama 3.3 70B · 12 000 TPM,3,3,3,675,232.0,1,3,1
archive_by_model,,,mechoacan_yurirapundaro,Llama 3.3 70B · 12 000 TPM,2,2,2,375,187.5,1,2,1
archive_by_model,,,uia_ms149,Llama 3.3 70B · 12 000 TPM,5,5,5,1551,296.0,1,4,1
archive_by_model,,,utblac_eog,Llama 3.3 70B · 12 000 TPM,4,4,4,429,111.5,1,3,1
archive_by_model,,,utblac_gg,Llama 3.3 70B · 12 000 TPM,4,4,4,726,179.5,1,3,1
archive_by_model,,,utblac_jgi,Llama 3.3 70B · 12 000 TPM,4,4,4,814,222.0,1,3,1
archive_by_model,,,utblac_wbs,Llama 3.3 70B · 12 000 TPM,5,5,5,1237,288.0,1,4,1
reviewer_by_archive,1,Javier,agi_contratacion,,1,1,1,180,180.0,1,1,1
reviewer_by_archive,1,Javier,agi_patronato,,1,1,1,248,248.0,1,1,1
reviewer_by_archive,1,Javier,agn_ahhacienda,,1,1,1,411,411.0,1,1,1
reviewer_by_archive,1,Javier,agn_congregaciones,,1,1,1,374,374.0,1,1,1
reviewer_by_archive,1,Javier,agn_indiferentevirreinal,,1,1,1,128,128.0,1,1,1
reviewer_by_archive,1,Javier,agn_inquisicion,,1,1,1,223,223.0,1,1,1
reviewer_by_archive,1,Javier,agn_marina,,1,1,1,70,70.0,1,1,1
reviewer_by_archive,1,Javier,ags_ce,,1,1,1,83,83.0,1,1,1
reviewer_by_archive,1,Javier,bne_ms3047,,2,2,2,947,473.5,1,1,2
reviewer_by_archive,1,Javier,bnf_167,,2,2,2,898,449.0,1,1,1
reviewer_by_archive,1,Javier,bnf_174,,2,2,2,947,473.5,1,1,1
reviewer_by_archive,1,Javier,bnf_283,,1,1,1,553,553.0,1,1,1
reviewer_by_archive,1,Javier,bp_cm,,2,2,2,413,206.5,1,1,1
reviewer_by_archive,1,Javier,uia_ms149,,1,1,1,296,296.0,1,1,1
reviewer_by_archive,1,Javier,utblac_eog,,2,2,2,206,103.0,1,1,1
reviewer_by_archive,2,Paco,agi_contratacion,,1,1,1,304,304.0,1,1,1
reviewer_by_archive,2,Paco,agi_patronato,,1,1,1,223,223.0,1,1,1
reviewer_by_archive,2,Paco,agn_hospjesus,,1,1,1,317,317.0,1,1,1
reviewer_by_archive,2,Paco,agn_marina,,1,1,1,31,31.0,1,1,1
reviewer_by_archive,2,Paco,agn_tierras,,1,1,1,122,122.0,1,1,1
reviewer_by_archive,2,Paco,bnf_030,,1,1,1,383,383.0,1,1,1
reviewer_by_archive,2,Paco,bnf_032,,1,1,1,303,303.0,1,1,1
reviewer_by_archive,2,Paco,bnf_104,,1,1,1,328,328.0,1,1,1
reviewer_by_archive,2,Paco,bnf_112,,1,1,1,269,269.0,1,1,1
reviewer_by_archive,2,Paco,bnf_113,,1,1,1,310,310.0,1,1,1
reviewer_by_archive,2,Paco,bnf_116,,1,1,1,273,273.0,1,1,1
reviewer_by_archive,2,Paco,bnf_117,,1,1,1,148,148.0,1,1,1
reviewer_by_archive,2,Paco,bnf_167,,1,1,1,389,389.0,1,1,1
reviewer_by_archive,2,Paco,bnf_266,,1,1,1,923,923.0,1,1,1
reviewer_by_archive,2,Paco,bnf_267,,2,2,2,453,226.5,1,1,1
reviewer_by_archive,2,Paco,loc_hpkraus,,1,1,1,148,148.0,1,1,1
reviewer_by_archive,2,Paco,uia_ms149,,1,1,1,297,297.0,1,1,1
reviewer_by_archive,2,Paco,utblac_gg,,1,1,1,152,152.0,1,1,1
reviewer_by_archive,2,Paco,utblac_wbs,,1,1,1,30,30.0,1,1,1
reviewer_by_archive,3,Adriana,agi_contratacion,,1,1,1,137,137.0,1,1,1
reviewer_by_archive,3,Adriana,agi_guadalajara,,1,1,1,122,122.0,1,1,1
reviewer_by_archive,3,Adriana,agn_ahhacienda,,1,1,1,172,172.0,1,1,1
reviewer_by_archive,3,Adriana,agn_inquisicion,,1,1,1,113,113.0,1,1,1
