filename_stem,filename,archive,reviewer_packet,model,annotation_json_path,modernised_txt_path,pre_modernisation_txt_path,annotations_legend_path,entities_legend_path,annotation_json_found,modernised_txt_found,pre_modernisation_txt_found,modernised_txt_in_export,annotations_legend_found,entities_legend_found,reviewer_name,modernised_text_available,n_modernised_tokens,n_modernised_characters,n_modernised_characters_without_whitespace,n_modernised_lines,pre_modernisation_text_available,n_pre_modernisation_tokens,n_pre_modernisation_characters,n_pre_modernisation_characters_without_whitespace,n_pre_modernisation_lines,token_count_method,feature_status,token_count_change,character_count_change,token_count_change_pct,character_count_change_pct,n_recorded_annotations,n_recorded_assignments,n_included_assignments,n_included_annotations,n_excluded_assignments,n_originally_invalid_assignments,n_corrected_assignments,n_accepted_invalid_assignments,review_data_status,included_annotations_per_1000_tokens,included_assignments_per_1000_tokens
BP_CM_R481_071_3,BP_CM_R481_071_3_GT.txt,bp_cm,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BP_CM_R481_071_3_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BP_CM_R481_071_3_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/BP_CM_R481_071_3/BP_CM_R481_071_3_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,47,272,226,1,True,51,246,194,7,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-4,26,-7.84313725490196,10.569105691056912,6,7,7,6,0,0,0,0,reviewed_with_annotations,127.6595744680851,148.93617021276594
AGN_IndiferenteVirreinal_caja4156_exp025,AGN_IndiferenteVirreinal_caja4156_exp025_GT.txt,agn_indiferentevirreinal,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_IndiferenteVirreinal_caja4156_exp025_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_IndiferenteVirreinal_caja4156_exp025_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_IndiferenteVirreinal_caja4156_exp025/AGN_IndiferenteVirreinal_caja4156_exp025_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,128,719,592,1,True,129,708,570,11,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-1,11,-0.7751937984496124,1.5536723163841808,4,4,4,4,0,0,0,0,reviewed_with_annotations,31.25,31.25
BnF_283_12,BnF_283_12_GT.txt,bnf_283,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_283_12_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_283_12_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/BnF_283_12/BnF_283_12_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,553,3217,2665,1,True,571,3151,2574,53,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-18,66,-3.1523642732049035,2.0945731513805144,8,8,8,8,0,0,0,0,reviewed_with_annotations,14.466546112115731,14.466546112115731
AGI_CONTRATACION_1091_N3_098,AGI_CONTRATACION_1091_N3_098_GT.txt,agi_contratacion,1,GPT OSS 120B · 8 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_CONTRATACION_1091_N3_098/AGI_CONTRATACION_1091_N3_098_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,180,853,663,35,True,180,858,667,35,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,0,-5,0.0,-0.5827505827505828,8,8,8,8,0,0,0,0,reviewed_with_annotations,44.44444444444444,44.44444444444444
BnF_167_03,BnF_167_03_GT.txt,bnf_167,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_167_03_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_167_03_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/BnF_167_03/BnF_167_03_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,440,2363,1924,1,True,444,2363,1916,37,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-4,0,-0.9009009009009008,0.0,4,4,4,4,0,0,0,0,reviewed_with_annotations,9.09090909090909,9.09090909090909
BnF_174_06,BnF_174_06_GT.txt,bnf_174,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_174_06_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_174_06_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/BnF_174_06/BnF_174_06_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,641,3523,2883,1,True,670,3573,2901,67,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-29,-50,-4.328358208955224,-1.3993842709207949,10,11,11,10,0,0,0,0,reviewed_with_annotations,15.600624024960998,17.160686427457097
BnF_167_04,BnF_167_04_GT.txt,bnf_167,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_167_04_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_167_04_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/BnF_167_04/BnF_167_04_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,458,2510,2053,1,True,462,2484,2023,38,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-4,26,-0.8658008658008658,1.0466988727858293,3,3,3,3,0,0,0,0,reviewed_with_annotations,6.550218340611353,6.550218340611353
UIA_Ms149_Exp3_08,UIA_Ms149_Exp3_08_GT.txt,uia_ms149,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/UIA_Ms149_Exp3_08_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/UIA_Ms149_Exp3_08_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/UIA_Ms149_Exp3_08/UIA_Ms149_Exp3_08_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,296,1731,1436,1,True,305,1694,1372,29,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-9,37,-2.950819672131148,2.1841794569067297,1,1,1,1,0,0,0,0,reviewed_with_annotations,3.3783783783783785,3.3783783783783785
utblac_eog_wbs_procesal_sample_01_10,utblac_eog_wbs_procesal_sample_01_10_GT.txt,utblac_eog,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/utblac_eog_wbs_procesal_sample_01_10_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/utblac_eog_wbs_procesal_sample_01_10_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/utblac_eog_wbs_procesal_sample_01_10/utblac_eog_wbs_procesal_sample_01_10_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,191,1059,869,1,True,201,1057,854,33,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-10,2,-4.975124378109453,0.1892147587511826,1,1,1,1,0,0,0,0,reviewed_with_annotations,5.235602094240838,5.235602094240838
BP_CM_R494_156_2,BP_CM_R494_156_2_GT.txt,bp_cm,1,Llama 3.3 70B · 12 000 TPM,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BP_CM_R494_156_2_GT_moderno.ann.json,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/BP_CM_R494_156_2_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/BP_CM_R494_156_2/BP_CM_R494_156_2_GT.txt,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/annotations-legend.json,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/entities-legends_Modernizador.json,True,True,True,True,True,True,Javier,True,366,1981,1616,1,True,373,1957,1580,32,unicode_word_regex_with_internal_apostrophes_and_hyphens,complete,-7,24,-1.876675603217158,1.2263668880940215,15,15,15,15,0,0,0,0,reviewed_with_annotations,40.983606557377044,40.983606557377044
