pattern_row_id,analysis_scope,model,normalised_annotated_form,effective_error_category,effective_subrule,distinct_annotations,affected_documents,affected_reviewers,affected_archives,example_surface_forms,example_documents,reviewers,archives,all_form_annotations,rule_share_for_form,rule_share_wilson_lower_95,recurrent_across_documents_and_reviewers
1714,all_models,ALL_MODELS,billanueba,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,billanueba,AGI_PATRONATO_182_R3_04,Paco,agi_patronato,1,1.0,0.20654931437723742,False
1715,model,GPT OSS 120B · 8 000 TPM,billanueba,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,billanueba,AGI_PATRONATO_182_R3_04,Paco,agi_patronato,1,1.0,0.20654931437723742,False
1716,all_models,ALL_MODELS,billegas,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,Billegas,AGN_GralParte_v001_exp1020_01,Paloma,agn_gralparte,1,1.0,0.20654931437723742,False
1717,model,Llama 3.3 70B · 12 000 TPM,billegas,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,Billegas,AGN_GralParte_v001_exp1020_01,Paloma,agn_gralparte,1,1.0,0.20654931437723742,False
1718,all_models,ALL_MODELS,binieron,Filológicas - instrucciones,No sub-rule assigned,1,1,1,1,binieron,BnF_112_25,Paco,bnf_112,1,1.0,0.20654931437723742,False
1719,model,GPT OSS 120B · 8 000 TPM,binieron,Filológicas - instrucciones,No sub-rule assigned,1,1,1,1,binieron,BnF_112_25,Paco,bnf_112,1,1.0,0.20654931437723742,False
1720,all_models,ALL_MODELS,bino,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,Bino,AGS_CE_RG_L379_02,Arturo,ags_ce,1,1.0,0.20654931437723742,False
1721,model,Llama 3.3 70B · 12 000 TPM,bino,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,Bino,AGS_CE_RG_L379_02,Arturo,ags_ce,1,1.0,0.20654931437723742,False
1722,all_models,ALL_MODELS,bision,Acentuación,No sub-rule assigned,1,1,1,1,bision,BnF_111_20,Flor,bnf_111,1,1.0,0.20654931437723742,False
1723,model,GPT OSS 120B · 8 000 TPM,bision,Acentuación,No sub-rule assigned,1,1,1,1,bision,BnF_111_20,Flor,bnf_111,1,1.0,0.20654931437723742,False
1724,all_models,ALL_MODELS,bision,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,bision,BnF_111_20,Flor,bnf_111,1,1.0,0.20654931437723742,False
1725,model,GPT OSS 120B · 8 000 TPM,bision,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,bision,BnF_111_20,Flor,bnf_111,1,1.0,0.20654931437723742,False
1726,all_models,ALL_MODELS,bistos,Filológicas - instrucciones,Regularización de i/y vocálicas,1,1,1,1,bistos,AGN_Mercedes_v003_exp520,Alba,agn_mercedes,1,1.0,0.20654931437723742,False
1727,model,GPT OSS 120B · 8 000 TPM,bistos,Filológicas - instrucciones,Regularización de i/y vocálicas,1,1,1,1,bistos,AGN_Mercedes_v003_exp520,Alba,agn_mercedes,1,1.0,0.20654931437723742,False
1728,all_models,ALL_MODELS,bizcocho,Puntuación,"Coma (,)",1,1,1,1,bizcocho,AMP_AC_v021__doc026_1,Rodrigo,amp_ac,1,1.0,0.20654931437723742,False
1729,model,GPT OSS 120B · 8 000 TPM,bizcocho,Puntuación,"Coma (,)",1,1,1,1,bizcocho,AMP_AC_v021__doc026_1,Rodrigo,amp_ac,1,1.0,0.20654931437723742,False
1730,all_models,ALL_MODELS,blazona,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,blazona,BnF_174_04,Paloma,bnf_174,1,1.0,0.20654931437723742,False
1731,model,Llama 3.3 70B · 12 000 TPM,blazona,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,blazona,BnF_174_04,Paloma,bnf_174,1,1.0,0.20654931437723742,False
1732,all_models,ALL_MODELS,bolbio,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,bolbio,BnF_111_20,Flor,bnf_111,1,1.0,0.20654931437723742,False
1733,model,GPT OSS 120B · 8 000 TPM,bolbio,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,bolbio,BnF_111_20,Flor,bnf_111,1,1.0,0.20654931437723742,False
1734,all_models,ALL_MODELS,bolviesen,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,bolviesen,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,Arturo,agn_hospjesus,1,1.0,0.20654931437723742,False
1735,model,Llama 3.3 70B · 12 000 TPM,bolviesen,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,bolviesen,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,Arturo,agn_hospjesus,1,1.0,0.20654931437723742,False
1736,all_models,ALL_MODELS,borracheras sacrificios,Puntuación,No sub-rule assigned,1,1,1,1,borracheras Sacrificios,AGN_Indios_v009_exp003_fs4v-5_01,Arturo,agn_indios,1,1.0,0.20654931437723742,False
1737,model,GPT OSS 120B · 8 000 TPM,borracheras sacrificios,Puntuación,No sub-rule assigned,1,1,1,1,borracheras Sacrificios,AGN_Indios_v009_exp003_fs4v-5_01,Arturo,agn_indios,1,1.0,0.20654931437723742,False
1738,all_models,ALL_MODELS,"bravo,",Puntuación,Punto (.),1,1,1,1,"Bravo,",BnF_243_16,Rodrigo,bnf_243,1,1.0,0.20654931437723742,False
1739,model,Llama 3.3 70B · 12 000 TPM,"bravo,",Puntuación,Punto (.),1,1,1,1,"Bravo,",BnF_243_16,Rodrigo,bnf_243,1,1.0,0.20654931437723742,False
1740,all_models,ALL_MODELS,"brazas, cada",Puntuación,"Coma (,)",1,1,1,1,"brazas, cada",BnF_032_23,Arturo,bnf_032,1,1.0,0.20654931437723742,False
1741,model,Llama 3.3 70B · 12 000 TPM,"brazas, cada",Puntuación,"Coma (,)",1,1,1,1,"brazas, cada",BnF_032_23,Arturo,bnf_032,1,1.0,0.20654931437723742,False
1742,all_models,ALL_MODELS,bre,Abreviaturas,Expansión completa,1,1,1,1,bre,BnF_030_22,Paco,bnf_030,1,1.0,0.20654931437723742,False
1743,model,Llama 3.3 70B · 12 000 TPM,bre,Abreviaturas,Expansión completa,1,1,1,1,bre,BnF_030_22,Paco,bnf_030,1,1.0,0.20654931437723742,False
1744,all_models,ALL_MODELS,bruã±ã³n,Cambios,Otros,1,1,1,1,BruÃ±Ã³n,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1745,model,Llama 3.3 70B · 12 000 TPM,bruã±ã³n,Cambios,Otros,1,1,1,1,BruÃ±Ã³n,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1746,all_models,ALL_MODELS,bruã±ã³n,Cambios,Sustitución,1,1,1,1,BruÃ±Ã³n,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1747,model,Llama 3.3 70B · 12 000 TPM,bruã±ã³n,Cambios,Sustitución,1,1,1,1,BruÃ±Ã³n,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1748,all_models,ALL_MODELS,bua,Abreviaturas,Expansión completa,1,1,1,1,bua,BNE_ms3047_4,Javier,bne_ms3047,1,1.0,0.20654931437723742,False
1749,model,GPT OSS 120B · 8 000 TPM,bua,Abreviaturas,Expansión completa,1,1,1,1,bua,BNE_ms3047_4,Javier,bne_ms3047,1,1.0,0.20654931437723742,False
1750,all_models,ALL_MODELS,buelvan,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,buelvan,BnF_118_03,Paloma,bnf_118,1,1.0,0.20654931437723742,False
1751,model,Llama 3.3 70B · 12 000 TPM,buelvan,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,buelvan,BnF_118_03,Paloma,bnf_118,1,1.0,0.20654931437723742,False
1752,all_models,ALL_MODELS,buelve,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,buelve,BnF_264_12,Edna,bnf_264,1,1.0,0.20654931437723742,False
1753,model,Llama 3.3 70B · 12 000 TPM,buelve,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,buelve,BnF_264_12,Edna,bnf_264,1,1.0,0.20654931437723742,False
1754,all_models,ALL_MODELS,buena mediana,Puntuación,"Coma (,)",1,1,1,1,Buena Mediana,AGS_CE_RG_L379_04,Rodrigo,ags_ce,1,1.0,0.20654931437723742,False
1755,model,Llama 3.3 70B · 12 000 TPM,buena mediana,Puntuación,"Coma (,)",1,1,1,1,Buena Mediana,AGS_CE_RG_L379_04,Rodrigo,ags_ce,1,1.0,0.20654931437723742,False
1756,all_models,ALL_MODELS,bulas,Cambios,Deleción,1,1,1,1,bulas,BnF_394_07,Rodrigo,bnf_394,1,1.0,0.20654931437723742,False
1757,model,Llama 3.3 70B · 12 000 TPM,bulas,Cambios,Deleción,1,1,1,1,bulas,BnF_394_07,Rodrigo,bnf_394,1,1.0,0.20654931437723742,False
1758,all_models,ALL_MODELS,ca,Abreviaturas,Expansión completa,1,1,1,1,Ca,BP_CM_R494_156_2,Javier,bp_cm,1,1.0,0.20654931437723742,False
1759,model,Llama 3.3 70B · 12 000 TPM,ca,Abreviaturas,Expansión completa,1,1,1,1,Ca,BP_CM_R494_156_2,Javier,bp_cm,1,1.0,0.20654931437723742,False
1760,all_models,ALL_MODELS,cabecera,Puntuación,No sub-rule assigned,1,1,1,1,cabecera,Mechoacan_Yurirapundaro_2,Arturo,mechoacan_yurirapundaro,1,1.0,0.20654931437723742,False
1761,model,Llama 3.3 70B · 12 000 TPM,cabecera,Puntuación,No sub-rule assigned,1,1,1,1,cabecera,Mechoacan_Yurirapundaro_2,Arturo,mechoacan_yurirapundaro,1,1.0,0.20654931437723742,False
1762,all_models,ALL_MODELS,cabeza,Abreviaturas,Expansión completa,1,1,1,1,cabeza,AMP_AC_v021__doc026_1,Rodrigo,amp_ac,1,1.0,0.20654931437723742,False
1763,model,GPT OSS 120B · 8 000 TPM,cabeza,Abreviaturas,Expansión completa,1,1,1,1,cabeza,AMP_AC_v021__doc026_1,Rodrigo,amp_ac,1,1.0,0.20654931437723742,False
1764,all_models,ALL_MODELS,cabeza,Cambios,Sustitución,1,1,1,1,cabeza,AMP_AC_v021__doc026_1,Rodrigo,amp_ac,1,1.0,0.20654931437723742,False
1765,model,GPT OSS 120B · 8 000 TPM,cabeza,Cambios,Sustitución,1,1,1,1,cabeza,AMP_AC_v021__doc026_1,Rodrigo,amp_ac,1,1.0,0.20654931437723742,False
1766,all_models,ALL_MODELS,"cabeza, a",Puntuación,"Coma (,)",1,1,1,1,"Cabeza, a",BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
1767,model,Llama 3.3 70B · 12 000 TPM,"cabeza, a",Puntuación,"Coma (,)",1,1,1,1,"Cabeza, a",BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
1768,all_models,ALL_MODELS,cabezeras,Abreviaturas,No sub-rule assigned,1,1,1,1,cabezeras,AGI_PATRONATO_181_R13_1,Paloma,agi_patronato,1,1.0,0.20654931437723742,False
1769,model,GPT OSS 120B · 8 000 TPM,cabezeras,Abreviaturas,No sub-rule assigned,1,1,1,1,cabezeras,AGI_PATRONATO_181_R13_1,Paloma,agi_patronato,1,1.0,0.20654931437723742,False
1770,all_models,ALL_MODELS,cabezeras,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,cabezeras,AGI_PATRONATO_181_R13_1,Paloma,agi_patronato,1,1.0,0.20654931437723742,False
1771,model,GPT OSS 120B · 8 000 TPM,cabezeras,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,cabezeras,AGI_PATRONATO_181_R13_1,Paloma,agi_patronato,1,1.0,0.20654931437723742,False
1772,all_models,ALL_MODELS,cabildo paso,Cambios,Otros,1,1,1,1,cabildo Paso,AMP_AC_v021__doc026_1,Rodrigo,amp_ac,1,1.0,0.20654931437723742,False
1773,model,GPT OSS 120B · 8 000 TPM,cabildo paso,Cambios,Otros,1,1,1,1,cabildo Paso,AMP_AC_v021__doc026_1,Rodrigo,amp_ac,1,1.0,0.20654931437723742,False
1774,all_models,ALL_MODELS,cabildo paso,Puntuación,"Coma (,)",1,1,1,1,cabildo Paso,AMP_AC_v021__doc026_1,Rodrigo,amp_ac,1,1.0,0.20654931437723742,False
1775,model,GPT OSS 120B · 8 000 TPM,cabildo paso,Puntuación,"Coma (,)",1,1,1,1,cabildo Paso,AMP_AC_v021__doc026_1,Rodrigo,amp_ac,1,1.0,0.20654931437723742,False
1776,all_models,ALL_MODELS,caca guatlacatl,Cambios,Inserción,1,1,1,1,Caca guatlacatl,BnF_104_2,Paco,bnf_104,1,1.0,0.20654931437723742,False
1777,model,GPT OSS 120B · 8 000 TPM,caca guatlacatl,Cambios,Inserción,1,1,1,1,Caca guatlacatl,BnF_104_2,Paco,bnf_104,1,1.0,0.20654931437723742,False
1778,all_models,ALL_MODELS,cacagua tlatle,Cambios,Inserción,1,1,1,1,Cacagua tlatle,BnF_104_2,Paco,bnf_104,1,1.0,0.20654931437723742,False
1779,model,GPT OSS 120B · 8 000 TPM,cacagua tlatle,Cambios,Inserción,1,1,1,1,Cacagua tlatle,BnF_104_2,Paco,bnf_104,1,1.0,0.20654931437723742,False
1780,all_models,ALL_MODELS,cacuala,Cambios,Deleción,1,1,1,1,cacuala,AGN_Indios_v002_exp835,Paloma,agn_indios,1,1.0,0.20654931437723742,False
1781,model,GPT OSS 120B · 8 000 TPM,cacuala,Cambios,Deleción,1,1,1,1,cacuala,AGN_Indios_v002_exp835,Paloma,agn_indios,1,1.0,0.20654931437723742,False
1782,all_models,ALL_MODELS,cada señor,Cambios,Deleción,1,1,1,1,cada señor,BnF_264_12,Edna,bnf_264,1,1.0,0.20654931437723742,False
1783,model,Llama 3.3 70B · 12 000 TPM,cada señor,Cambios,Deleción,1,1,1,1,cada señor,BnF_264_12,Edna,bnf_264,1,1.0,0.20654931437723742,False
1784,all_models,ALL_MODELS,cadiz,Acentuación,No sub-rule assigned,1,1,1,1,cadiz,AGI_CONTRATACION_1183_N8_78,Adriana,agi_contratacion,1,1.0,0.20654931437723742,False
1785,model,GPT OSS 120B · 8 000 TPM,cadiz,Acentuación,No sub-rule assigned,1,1,1,1,cadiz,AGI_CONTRATACION_1183_N8_78,Adriana,agi_contratacion,1,1.0,0.20654931437723742,False
1786,all_models,ALL_MODELS,calejón,Cambios,Deleción,1,1,1,1,calejón,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
1787,model,GPT OSS 120B · 8 000 TPM,calejón,Cambios,Deleción,1,1,1,1,calejón,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
1788,all_models,ALL_MODELS,callando,Cambios,Sustitución,1,1,1,1,callando,BnF_266_10,Flor,bnf_266,1,1.0,0.20654931437723742,False
1789,model,Llama 3.3 70B · 12 000 TPM,callando,Cambios,Sustitución,1,1,1,1,callando,BnF_266_10,Flor,bnf_266,1,1.0,0.20654931437723742,False
1790,all_models,ALL_MODELS,callexa,Filológicas - instrucciones,x sibilante → j,1,1,1,1,callexa,AGI_CONTRATACION_1183_N8_78,Adriana,agi_contratacion,1,1.0,0.20654931437723742,False
1791,model,GPT OSS 120B · 8 000 TPM,callexa,Filológicas - instrucciones,x sibilante → j,1,1,1,1,callexa,AGI_CONTRATACION_1183_N8_78,Adriana,agi_contratacion,1,1.0,0.20654931437723742,False
1792,all_models,ALL_MODELS,callã¡semos,Cambios,Otros,1,1,1,1,callÃ¡semos,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1793,model,Llama 3.3 70B · 12 000 TPM,callã¡semos,Cambios,Otros,1,1,1,1,callÃ¡semos,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1794,all_models,ALL_MODELS,callã¡semos,Cambios,Sustitución,1,1,1,1,callÃ¡semos,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1795,model,Llama 3.3 70B · 12 000 TPM,callã¡semos,Cambios,Sustitución,1,1,1,1,callÃ¡semos,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1796,all_models,ALL_MODELS,camilón,Cambios,Sustitución,1,1,1,1,camilón,BnF_112_25,Paco,bnf_112,1,1.0,0.20654931437723742,False
1797,model,GPT OSS 120B · 8 000 TPM,camilón,Cambios,Sustitución,1,1,1,1,camilón,BnF_112_25,Paco,bnf_112,1,1.0,0.20654931437723742,False
1798,all_models,ALL_MODELS,camo,Cambios,Otros,1,1,1,1,camo,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
1799,model,GPT OSS 120B · 8 000 TPM,camo,Cambios,Otros,1,1,1,1,camo,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
1800,all_models,ALL_MODELS,camora,Cambios,Otros,1,1,1,1,camora,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
1801,model,GPT OSS 120B · 8 000 TPM,camora,Cambios,Otros,1,1,1,1,camora,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
1802,all_models,ALL_MODELS,campeche,Cambios,Inserción,1,1,1,1,Campeche,AGN_Tierras_v2963_exp059_24,Paco,agn_tierras,1,1.0,0.20654931437723742,False
1803,model,Llama 3.3 70B · 12 000 TPM,campeche,Cambios,Inserción,1,1,1,1,Campeche,AGN_Tierras_v2963_exp059_24,Paco,agn_tierras,1,1.0,0.20654931437723742,False
1804,all_models,ALL_MODELS,campeche,Cambios,Sustitución,1,1,1,1,Campeche,AGN_Tierras_v2963_exp059_24,Paco,agn_tierras,1,1.0,0.20654931437723742,False
1805,model,Llama 3.3 70B · 12 000 TPM,campeche,Cambios,Sustitución,1,1,1,1,Campeche,AGN_Tierras_v2963_exp059_24,Paco,agn_tierras,1,1.0,0.20654931437723742,False
1806,all_models,ALL_MODELS,"campos, que",Puntuación,Punto (.),1,1,1,1,"Campos, que",AGN_GralParte_v006_exp617_02,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
1807,model,Llama 3.3 70B · 12 000 TPM,"campos, que",Puntuación,Punto (.),1,1,1,1,"Campos, que",AGN_GralParte_v006_exp617_02,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
1808,all_models,ALL_MODELS,cansados y sedientos,Cambios,Deleción,1,1,1,1,cansados y sedientos,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1809,model,Llama 3.3 70B · 12 000 TPM,cansados y sedientos,Cambios,Deleción,1,1,1,1,cansados y sedientos,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1810,all_models,ALL_MODELS,cansados y sedientos,Cambios,Sustitución,1,1,1,1,cansados y sedientos,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1811,model,Llama 3.3 70B · 12 000 TPM,cansados y sedientos,Cambios,Sustitución,1,1,1,1,cansados y sedientos,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1812,all_models,ALL_MODELS,cantidad,Abreviaturas,Expansión completa,1,1,1,1,cantidad,BnF_030_27,Rodrigo,bnf_030,1,1.0,0.20654931437723742,False
1813,model,GPT OSS 120B · 8 000 TPM,cantidad,Abreviaturas,Expansión completa,1,1,1,1,cantidad,BnF_030_27,Rodrigo,bnf_030,1,1.0,0.20654931437723742,False
1814,all_models,ALL_MODELS,cantidad,Cambios,Sustitución,1,1,1,1,cantidad,BnF_030_27,Rodrigo,bnf_030,1,1.0,0.20654931437723742,False
1815,model,GPT OSS 120B · 8 000 TPM,cantidad,Cambios,Sustitución,1,1,1,1,cantidad,BnF_030_27,Rodrigo,bnf_030,1,1.0,0.20654931437723742,False
1816,all_models,ALL_MODELS,canto,Cambios,Sustitución,1,1,1,1,canto,BNE_ms3047_1,Rodrigo,bne_ms3047,1,1.0,0.20654931437723742,False
1817,model,GPT OSS 120B · 8 000 TPM,canto,Cambios,Sustitución,1,1,1,1,canto,BNE_ms3047_1,Rodrigo,bne_ms3047,1,1.0,0.20654931437723742,False
1818,all_models,ALL_MODELS,capellón,Cambios,Inserción,1,1,1,1,Capellón,UIA_Ms149_Exp3_43,Paco,uia_ms149,1,1.0,0.20654931437723742,False
1819,model,Llama 3.3 70B · 12 000 TPM,capellón,Cambios,Inserción,1,1,1,1,Capellón,UIA_Ms149_Exp3_43,Paco,uia_ms149,1,1.0,0.20654931437723742,False
1820,model,GPT OSS 120B · 8 000 TPM,capitan,Acentuación,No sub-rule assigned,1,1,1,1,capitan,AGI_PATRONATO_182_R3_01,Alba,agi_patronato,1,1.0,0.20654931437723742,False
1821,model,Llama 3.3 70B · 12 000 TPM,capitan,Acentuación,No sub-rule assigned,1,1,1,1,Capitan,BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
1822,all_models,ALL_MODELS,capitán.,Puntuación,Punto (.),1,1,1,1,capitán.,AGI_INDIFERENTE_2065_N45_09,Rodrigo,agi_indiferente,1,1.0,0.20654931437723742,False
1823,model,GPT OSS 120B · 8 000 TPM,capitán.,Puntuación,Punto (.),1,1,1,1,capitán.,AGI_INDIFERENTE_2065_N45_09,Rodrigo,agi_indiferente,1,1.0,0.20654931437723742,False
1824,all_models,ALL_MODELS,capn.,Abreviaturas,Expansión completa,1,1,1,1,Capn.,BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
1825,model,Llama 3.3 70B · 12 000 TPM,capn.,Abreviaturas,Expansión completa,1,1,1,1,Capn.,BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
1826,all_models,ALL_MODELS,capullas,Cambios,Sustitución,1,1,1,1,capullas,BnF_030_27,Rodrigo,bnf_030,1,1.0,0.20654931437723742,False
1827,model,GPT OSS 120B · 8 000 TPM,capullas,Cambios,Sustitución,1,1,1,1,capullas,BnF_030_27,Rodrigo,bnf_030,1,1.0,0.20654931437723742,False
1828,all_models,ALL_MODELS,capán,Abreviaturas,Expansión completa,1,1,1,1,capán,AGN_RealesCedDup_v030_exp874,Alba,agn_realesceddup,1,1.0,0.20654931437723742,False
1829,model,GPT OSS 120B · 8 000 TPM,capán,Abreviaturas,Expansión completa,1,1,1,1,capán,AGN_RealesCedDup_v030_exp874,Alba,agn_realesceddup,1,1.0,0.20654931437723742,False
1830,all_models,ALL_MODELS,capã­tulo,Cambios,Otros,1,1,1,1,capÃ­tulo,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1831,model,Llama 3.3 70B · 12 000 TPM,capã­tulo,Cambios,Otros,1,1,1,1,capÃ­tulo,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1832,all_models,ALL_MODELS,capã­tulo,Cambios,Sustitución,1,1,1,1,capÃ­tulo,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1833,model,Llama 3.3 70B · 12 000 TPM,capã­tulo,Cambios,Sustitución,1,1,1,1,capÃ­tulo,BnF_266_05,Adriana,bnf_266,1,1.0,0.20654931437723742,False
1834,all_models,ALL_MODELS,capítulo,Cambios,Deleción,1,1,1,1,capítulo,utblac_JGI_XXIII-09_Amula_25,Rodrigo,utblac_jgi,1,1.0,0.20654931437723742,False
1835,model,Llama 3.3 70B · 12 000 TPM,capítulo,Cambios,Deleción,1,1,1,1,capítulo,utblac_JGI_XXIII-09_Amula_25,Rodrigo,utblac_jgi,1,1.0,0.20654931437723742,False
1836,all_models,ALL_MODELS,capítulo,Cambios,Sustitución,1,1,1,1,capítulo,utblac_JGI_XXIII-09_Amula_25,Rodrigo,utblac_jgi,1,1.0,0.20654931437723742,False
1837,model,Llama 3.3 70B · 12 000 TPM,capítulo,Cambios,Sustitución,1,1,1,1,capítulo,utblac_JGI_XXIII-09_Amula_25,Rodrigo,utblac_jgi,1,1.0,0.20654931437723742,False
1838,all_models,ALL_MODELS,caravajal,Puntuación,No sub-rule assigned,1,1,1,1,caravajal,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
1839,model,GPT OSS 120B · 8 000 TPM,caravajal,Puntuación,No sub-rule assigned,1,1,1,1,caravajal,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
1840,all_models,ALL_MODELS,caravajal y,Puntuación,No sub-rule assigned,1,1,1,1,caravajal y,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
1841,model,GPT OSS 120B · 8 000 TPM,caravajal y,Puntuación,No sub-rule assigned,1,1,1,1,caravajal y,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
1842,all_models,ALL_MODELS,cargo,Acentuación,No sub-rule assigned,1,1,1,1,cargo,BnF_266_03,Rodrigo,bnf_266,1,1.0,0.20654931437723742,False
1843,model,Llama 3.3 70B · 12 000 TPM,cargo,Acentuación,No sub-rule assigned,1,1,1,1,cargo,BnF_266_03,Rodrigo,bnf_266,1,1.0,0.20654931437723742,False
1844,all_models,ALL_MODELS,"caridad, y",Cambios,Deleción,1,1,1,1,"Caridad, y",BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
1845,model,Llama 3.3 70B · 12 000 TPM,"caridad, y",Cambios,Deleción,1,1,1,1,"Caridad, y",BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
1846,all_models,ALL_MODELS,"caridad, y",Puntuación,"Coma (,)",1,1,1,1,"Caridad, y",BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
1847,model,Llama 3.3 70B · 12 000 TPM,"caridad, y",Puntuación,"Coma (,)",1,1,1,1,"Caridad, y",BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
1848,all_models,ALL_MODELS,carnicero,Cambios,Sustitución,1,1,1,1,carnicero,AGI_PATRONATO_181_R13_1,Paloma,agi_patronato,1,1.0,0.20654931437723742,False
1849,model,GPT OSS 120B · 8 000 TPM,carnicero,Cambios,Sustitución,1,1,1,1,carnicero,AGI_PATRONATO_181_R13_1,Paloma,agi_patronato,1,1.0,0.20654931437723742,False
1850,all_models,ALL_MODELS,"carpio, y",Puntuación,"Coma (,)",1,1,1,1,"Carpio, y",BnF_243_12,Arturo,bnf_243,1,1.0,0.20654931437723742,False
1851,model,Llama 3.3 70B · 12 000 TPM,"carpio, y",Puntuación,"Coma (,)",1,1,1,1,"Carpio, y",BnF_243_12,Arturo,bnf_243,1,1.0,0.20654931437723742,False
1852,all_models,ALL_MODELS,"carryllo, de",Cambios,Deleción,1,1,1,1,"Carryllo, de",BnF_113_04,Paco,bnf_113,1,1.0,0.20654931437723742,False
1853,model,GPT OSS 120B · 8 000 TPM,"carryllo, de",Cambios,Deleción,1,1,1,1,"Carryllo, de",BnF_113_04,Paco,bnf_113,1,1.0,0.20654931437723742,False
1854,all_models,ALL_MODELS,carta.,Puntuación,Punto (.),1,1,1,1,carta.,AGN_Tierras_v039-2_exp003_41,Flor,agn_tierras,1,1.0,0.20654931437723742,False
1855,model,Llama 3.3 70B · 12 000 TPM,carta.,Puntuación,Punto (.),1,1,1,1,carta.,AGN_Tierras_v039-2_exp003_41,Flor,agn_tierras,1,1.0,0.20654931437723742,False
1856,all_models,ALL_MODELS,casa sano,Cambios,Inserción,1,1,1,1,casa sano,BnF_113_04,Paco,bnf_113,1,1.0,0.20654931437723742,False
1857,model,GPT OSS 120B · 8 000 TPM,casa sano,Cambios,Inserción,1,1,1,1,casa sano,BnF_113_04,Paco,bnf_113,1,1.0,0.20654931437723742,False
1858,all_models,ALL_MODELS,casar,Cambios,Sustitución,1,1,1,1,casar,BnF_113_25,Flor,bnf_113,1,1.0,0.20654931437723742,False
