pattern_row_id,analysis_scope,model,normalised_annotated_form,effective_error_category,effective_subrule,distinct_annotations,affected_documents,affected_reviewers,affected_archives,example_surface_forms,example_documents,reviewers,archives,all_form_annotations,rule_share_for_form,rule_share_wilson_lower_95,recurrent_across_documents_and_reviewers
11,all_models,ALL_MODELS,el,Acentuación,No sub-rule assigned,8,7,4,7,el,Mechoacan_Yurirapundaro_1 | BnF_112_02 | BnF_117_03 | AGN_Marina_v004_exp006_005 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05 | AMP_AC_v021__doc026_1 | BNE_ms3047_1,Adriana | Arturo | Edna | Rodrigo,mechoacan_yurirapundaro | bnf_112 | bnf_117 | agn_marina | agn_hospjesus | amp_ac | bne_ms3047,17,0.47058823529411764,0.26165106442409436,True
12,all_models,ALL_MODELS,franco,Abreviaturas,No sub-rule assigned,11,7,3,6,Franco | franco,AGI_GUADALAJARA_230_L2_F_45V-46V_1 | BnF_030_21 | BnF_112_23 | BnF_113_22 | BnF_113_43 | BnF_174_04 | AGN_HospJesus_c205_exp041_04,Edna | Paloma | Flor,agi_guadalajara | bnf_030 | bnf_112 | bnf_113 | bnf_174 | agn_hospjesus,69,0.15942028985507245,0.09141824277768035,True
13,all_models,ALL_MODELS,de este,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",12,7,2,6,de este,BnF_075_026 | BnF_075_035 | utblac_wbs_0912a_duplicated | AGN_AHHacienda_v268_exp046_02 | AGN_GralParte_v001_exp1020_01 | BnF_032_39 | BnF_112_08,Arturo | Paloma,bnf_075 | utblac_wbs | agn_ahhacienda | agn_gralparte | bnf_032 | bnf_112,16,0.75,0.5050168346449122,True
14,all_models,ALL_MODELS,do,Abreviaturas,Expansión completa,19,6,6,6,do,AGN_AHHacienda_v1292_exp135 | BnF_104_2 | BnF_112_02 | AGN_Tierras_v039-2_exp003_72 | BnF_075_014 | AMP_AC_v021__doc026_1,Javier | Paco | Arturo | Edna | Alba | Rodrigo,agn_ahhacienda | bnf_104 | bnf_112 | agn_tierras | bnf_075 | amp_ac,24,0.7916666666666666,0.5952954674681135,True
15,all_models,ALL_MODELS,sor,Abreviaturas,Expansión completa,12,6,5,5,Sor | sor,BnF_174_02 | BnF_117_13 | AGN_RealesCedDup_v030_exp874 | AGN_RealesCedDup_v050_exp062 | BnF_112_04 | BnF_113_25,Javier | Paco | Alba | Paloma | Flor,bnf_174 | bnf_117 | agn_realesceddup | bnf_112 | bnf_113,15,0.8,0.5481455128483065,True
16,all_models,ALL_MODELS,dos,Cambios,Sustitución,9,6,5,6,dos,AGN_Marina_v004_exp006_014 | BnF_104_2 | BnF_112_25 | AGN_Indios_v009_exp003_fs4v-5_01 | AGI_GUADALAJARA_230_L2_F_45V-46V_1 | BnF_030_27,Javier | Paco | Arturo | Edna | Rodrigo,agn_marina | bnf_104 | bnf_112 | agn_indios | agi_guadalajara | bnf_030,14,0.6428571428571429,0.387644231039074,True
17,all_models,ALL_MODELS,puo,Abreviaturas,Expansión completa,17,6,4,5,puo,BNE_ms3047_4 | BnF_113_04 | BnF_267_03 | BnF_267_23 | AGN_Indios_v019_exp354_2 | BnF_111_20,Javier | Paco | Alba | Flor,bne_ms3047 | bnf_113 | bnf_267 | agn_indios | bnf_111,25,0.68,0.4841026927310224,True
18,all_models,ALL_MODELS,quios,Abreviaturas,Expansión completa,6,6,4,6,quios,AGN_AHHacienda_v1292_exp135 | BnF_032_36 | BnF_113_04 | BnF_030_21 | AGI_PATRONATO_182_R3_01 | AGN_Mercedes_v003_exp520,Javier | Paco | Edna | Alba,agn_ahhacienda | bnf_032 | bnf_113 | bnf_030 | agi_patronato | agn_mercedes,8,0.75,0.40927543031016894,True
19,all_models,ALL_MODELS,a,Filológicas - instrucciones,Regularización de H etimológica,9,6,4,6,a | A,BnF_032_23 | BnF_113_22 | BnF_111_20 | AGI_INDIFERENTE_2065_N45_09 | AGN_GralParte_v006_exp617_01 | BnF_030_27,Arturo | Paloma | Flor | Rodrigo,bnf_032 | bnf_113 | bnf_111 | agi_indiferente | agn_gralparte | bnf_030,17,0.5294117647058824,0.3096323506000443,True
20,all_models,ALL_MODELS,to,Abreviaturas,Expansión completa,79,6,3,4,to | To,AGN_AHHacienda_v1292_exp135 | BnF_267_03 | BnF_267_23 | AGN_HospJesus_c205_exp041_04 | BnF_111_20 | BnF_111_21,Javier | Paco | Flor,agn_ahhacienda | bnf_267 | agn_hospjesus | bnf_111,82,0.9634146341463414,0.8978726535639152,True
21,all_models,ALL_MODELS,dhas,Abreviaturas,Expansión completa,7,5,5,4,dhas,BnF_112_25 | BnF_112_02 | AGN_Indios_v019_exp354_2 | BnF_113_22 | AGN_GralParte_v006_exp617_01,Paco | Arturo | Alba | Paloma | Rodrigo,bnf_112 | agn_indios | bnf_113 | agn_gralparte,8,0.875,0.5291118177871466,True
22,all_models,ALL_MODELS,seiscientos,Cambios,Sustitución,5,5,5,4,seiscientos,BnF_117_13 | BnF_075_003 | BnF_075_035 | BnF_119-148_13 | utblac_wbs_1433_duplicated_1,Paco | Adriana | Arturo | Edna | Rodrigo,bnf_117 | bnf_075 | bnf_119-148 | utblac_wbs,8,0.625,0.3057423946026273,True
23,all_models,ALL_MODELS,del,Cambios,Sustitución,14,5,5,5,del,BnF_112_25 | utblac_eog_j_04_duplicated_02 | BnF_030_21 | AGN_Indios_v002_exp835 | BnF_111_21,Paco | Arturo | Edna | Paloma | Flor,bnf_112 | utblac_eog | bnf_030 | agn_indios | bnf_111,36,0.3888888888888889,0.24784873065371002,True
24,all_models,ALL_MODELS,aver,Filológicas - instrucciones,Regularización de labiales (b/v),7,5,4,3,aver,BnF_112_02 | BnF_112_23 | BnF_112_08 | AGN_Tierras_v039-2_exp003_41 | BnF_111_20,Arturo | Edna | Paloma | Flor,bnf_112 | agn_tierras | bnf_111,7,1.0,0.6456695649333126,True
25,all_models,ALL_MODELS,aver,Filológicas - instrucciones,Regularización de H etimológica,6,5,4,3,aver,BnF_112_02 | BnF_112_23 | BnF_112_08 | AGN_Tierras_v039-2_exp003_41 | BnF_111_20,Arturo | Edna | Paloma | Flor,bnf_112 | agn_tierras | bnf_111,7,0.8571428571428571,0.48687217072568106,True
26,all_models,ALL_MODELS,justa,Abreviaturas,Expansión completa,9,5,4,4,justa,BnF_112_25 | BnF_116_02 | BnF_110_13 | BnF_110_29 | BnF_111_20,Paco | Adriana | Paloma | Flor,bnf_112 | bnf_116 | bnf_110 | bnf_111,14,0.6428571428571429,0.387644231039074,True
27,all_models,ALL_MODELS,de,Cambios,Sustitución,9,5,4,5,de,BnF_112_25 | AGN_Indios_v009_exp003_fs4v-5_01 | BnF_032_23 | AGI_PATRONATO_181_R13_1 | BnF_030_27,Paco | Arturo | Paloma | Rodrigo,bnf_112 | agn_indios | bnf_032 | agi_patronato | bnf_030,21,0.42857142857142855,0.2446996892537596,True
28,all_models,ALL_MODELS,dha,Abreviaturas,No sub-rule assigned,9,5,4,4,dha,AGN_AHHacienda_v268_exp046_01 | BnF_030_21 | BnF_112_23 | AGN_Mercedes_v003_exp520 | BnF_112_04,Adriana | Edna | Alba | Paloma,agn_ahhacienda | bnf_030 | bnf_112 | agn_mercedes,35,0.2571428571428571,0.14163027069060447,True
29,all_models,ALL_MODELS,anto,Abreviaturas,Expansión completa,7,5,3,5,Anto | anto,AGI_CONTRATACION_1089_N8_151 | BnF_104_2 | AGN_HospJesus_c205_exp041_04 | AGN_GralParte_v006_exp617_01 | BnF_243_16,Paco | Flor | Rodrigo,agi_contratacion | bnf_104 | agn_hospjesus | agn_gralparte | bnf_243,7,1.0,0.6456695649333126,True
30,all_models,ALL_MODELS,dias,Acentuación,No sub-rule assigned,7,5,3,5,dias,AGI_PATRONATO_182_R3_01 | AGN_Indios_v019_exp354_2 | AGN_Mercedes_v003_exp520 | BnF_113_22 | AGN_GralParte_v006_exp617_01,Alba | Paloma | Rodrigo,agi_patronato | agn_indios | agn_mercedes | bnf_113 | agn_gralparte,7,1.0,0.6456695649333126,True
31,all_models,ALL_MODELS,della,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",6,5,3,4,della,BNE_ms3047_3 | AGI_PATRONATO_182_R3_04 | AGI_PATRONATO_182_R3_01 | AMP_AC_v021__doc026_2 | BnF_111_27,Javier | Paco | Alba,bne_ms3047 | agi_patronato | amp_ac | bnf_111,6,1.0,0.6096657120978346,True
32,all_models,ALL_MODELS,mag,Abreviaturas,Expansión completa,7,5,3,3,mag,AGI_PATRONATO_182_R3_04 | BnF_032_36 | AGI_PATRONATO_182_R3_01 | AGN_Mercedes_v003_exp520 | BnF_032_15,Paco | Alba | Flor,agi_patronato | bnf_032 | agn_mercedes,8,0.875,0.5291118177871466,True
33,all_models,ALL_MODELS,da,Abreviaturas,Expansión completa,7,5,3,5,da | Da,AGI_PATRONATO_182_R3_04 | BnF_104_2 | BnF_112_25 | BnF_075_014 | BnF_243_16,Paco | Alba | Rodrigo,agi_patronato | bnf_104 | bnf_112 | bnf_075 | bnf_243,11,0.6363636363636364,0.35380117450784887,True
34,all_models,ALL_MODELS,así,Cambios,Deleción,6,5,3,5,así,BnF_075_035 | BnF_117_03 | BnF_113_43 | BnF_119-148_33 | AGI_INDIFERENTE_1529_N8_06,Arturo | Paloma | Rodrigo,bnf_075 | bnf_117 | bnf_113 | bnf_119-148 | agi_indiferente,11,0.5454545454545454,0.28009153740932197,True
35,all_models,ALL_MODELS,mi,Acentuación,No sub-rule assigned,9,5,3,5,mi,BnF_104_2 | BnF_113_04 | AGI_CONTRATACION_1183_N8_78 | AGN_Indios_v009_exp003_fs4v-5_01 | BnF_174_03,Paco | Adriana | Arturo,bnf_104 | bnf_113 | agi_contratacion | agn_indios | bnf_174,33,0.2727272727272727,0.15067440885420644,True
36,all_models,ALL_MODELS,esta,Abreviaturas,Expansión completa,6,5,2,5,esta,AGI_CONTRATACION_1089_N8_151 | AGI_PATRONATO_182_R3_04 | utblac_gg_mss_g62_duplicated_15 | AGN_GralParte_v006_exp617_01 | BNE_ms3047_1,Paco | Rodrigo,agi_contratacion | agi_patronato | utblac_gg | agn_gralparte | bne_ms3047,12,0.5,0.2537815976337061,True
37,all_models,ALL_MODELS,ay,Filológicas - instrucciones,Regularización de H etimológica,9,4,4,4,ay | Ay,BnF_112_23 | AGN_Mercedes_v003_exp520 | AGI_PATRONATO_181_R13_2 | BNE_ms3047_1,Edna | Alba | Paloma | Rodrigo,bnf_112 | agn_mercedes | agi_patronato | bne_ms3047,9,1.0,0.700854951580456,True
38,all_models,ALL_MODELS,declaro,Acentuación,No sub-rule assigned,5,4,4,4,declaro,BnF_032_36 | BnF_075_026 | AGI_CONTRATACION_1089_N8_176 | AGN_GralParte_v006_exp617_02,Paco | Arturo | Flor | Rodrigo,bnf_032 | bnf_075 | agi_contratacion | agn_gralparte,5,1.0,0.5655175352168252,True
39,all_models,ALL_MODELS,aos,Abreviaturas,Expansión completa,4,4,4,3,aos,AGN_AHHacienda_v1292_exp135 | AGN_AHHacienda_v268_exp046_01 | AGN_Indios_v019_exp354_2 | AGN_GralParte_v006_exp617_01,Javier | Adriana | Alba | Rodrigo,agn_ahhacienda | agn_indios | agn_gralparte,4,1.0,0.5101091635454027,True
40,all_models,ALL_MODELS,dho,Abreviaturas,No sub-rule assigned,11,4,4,3,dho,BnF_112_23 | AGN_Mercedes_v003_exp520 | BnF_112_04 | BnF_111_20,Edna | Alba | Paloma | Flor,bnf_112 | agn_mercedes | bnf_111,60,0.18333333333333332,0.10557796889197636,True
41,all_models,ALL_MODELS,pos,Abreviaturas,Expansión completa,21,4,3,3,pos,AGN_AHHacienda_v1292_exp135 | BnF_267_03 | BnF_267_23 | BNE_ms3047_1,Javier | Paco | Rodrigo,agn_ahhacienda | bnf_267 | bne_ms3047,22,0.9545454545454546,0.7820195416134267,True
42,all_models,ALL_MODELS,juan,Cambios,Sustitución,16,4,3,4,Juan,BnF_030_22 | BnF_075_003 | BnF_110_13 | BnF_174_04,Paco | Adriana | Paloma,bnf_030 | bnf_075 | bnf_110 | bnf_174,17,0.9411764705882353,0.7301796936242461,True
